task,_C,_L,_N,trial,sequence,choices,response,binaryResponse,responseCorrect,truthful,domain,response_type,reaction_time,id,ct,crt,age,sex,education,conservatism,Familiarity_Democrats_Combined,Familiarity_Republicans_Combined,PartisanDiff,Partisanship_All_Combined
SFake8,0,1,0,7,7,Accept|Reject,Accept,1,0,0,misinformation,single-choice,13.744,2585,2,0.857142857142857,30,2,3,2,2.296875,2.48484848485,0.027972027972028,2.17171717171717
SFake9,0,0,1,8,8,Accept|Reject,Reject,0,1,0,misinformation,single-choice,9.425,2585,2,0.857142857142857,30,2,3,2,2.046875,2.21212121212,-0.404195804195805,2.53535353535353
SFake4,0,0,1,3,3,Accept|Reject,Reject,0,1,0,misinformation,single-choice,11.783,2585,2,0.857142857142857,30,2,3,2,2.12307692308,2.21212121212,-0.101631701631702,3.66666666666667
SFake5,1,0,0,4,4,Accept|Reject,Reject,0,1,0,misinformation,single-choice,7.407,2585,2,0.857142857142857,30,2,3,2,2.07692307692,2.09090909091,-0.73006993006993,3.92929292929293
SFake6,1,0,0,5,5,Accept|Reject,Reject,0,1,0,misinformation,single-choice,10.046,2585,2,0.857142857142857,30,2,3,2,2.078125,2.18181818182,-0.502367424242425,3.90816326530612
SFake7,0,0,1,6,6,Accept|Reject,Reject,0,1,0,misinformation,single-choice,16.565,2585,2,0.857142857142857,30,2,3,2,2.12307692308,2.18181818182,-0.144055944055944,2.45454545454545
SFake1,0,0,1,0,0,Accept|Reject,Reject,0,1,0,misinformation,single-choice,11.99,2585,2,0.857142857142857,30,2,3,2,2.13846153846,2.375,-0.878321678321678,3.67676767676768
SFake2,1,0,0,1,1,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.09,2585,2,0.857142857142857,30,2,3,2,2.03076923077,2.03125,-0.610256410256407,4.06060606060606
SFake3,0,0,1,2,2,Accept|Reject,Reject,0,1,0,misinformation,single-choice,9.402,2585,2,0.857142857142857,30,2,3,2,2.21538461538,2.27272727273,-0.727272727272728,3.75757575757576
SFake12,0,0,1,11,11,Accept|Reject,Reject,0,1,0,misinformation,single-choice,11.755,2585,2,0.857142857142857,30,2,3,2,2.328125,2.45454545455,-0.202331002331003,2.3030303030303
SFake10,0,0,1,9,9,Accept|Reject,Reject,0,1,0,misinformation,single-choice,9.588,2585,2,0.857142857142857,30,2,3,2,2.26153846154,2.21212121212,-0.25081585081585,2.47474747474747
SFake11,0,1,0,10,10,Accept|Reject,Reject,0,1,0,misinformation,single-choice,16.117,2585,2,0.857142857142857,30,2,3,2,2.07692307692,2.09090909091,0.036363636363637,1.61616161616162
SReal9,0,0,1,24,24,Accept|Reject,Accept,1,1,1,misinformation,single-choice,7.448,2585,2,0.857142857142857,30,2,3,2,2.37735849057,2.42857142857,0.026504941599281,2.30208333333333
SReal8,0,0,1,23,23,Accept|Reject,Reject,0,0,1,misinformation,single-choice,7.973,2585,2,0.857142857142857,30,2,3,2,2.56603773585,2.42857142857,0.068733153638815,2.75
SReal1,1,0,0,16,16,Accept|Reject,Accept,1,1,1,misinformation,single-choice,9.155,2585,2,0.857142857142857,30,2,3,2,2.76923076923,3.04761904762,0.301886792452831,3.82291666666667
SReal3,0,0,1,18,18,Accept|Reject,Reject,0,0,1,misinformation,single-choice,9.61,2585,2,0.857142857142857,30,2,3,2,2.16981132075,2.35714285714,-0.225516621743037,3.21875
SReal2,0,0,1,17,17,Accept|Reject,Accept,1,1,1,misinformation,single-choice,7.984,2585,2,0.857142857142857,30,2,3,2,2.28301886792,2.33333333333,-0.199011680143755,3.51041666666667
SReal5,1,0,0,20,20,Accept|Reject,Accept,1,1,1,misinformation,single-choice,6.653,2585,2,0.857142857142857,30,2,3,2,2.41509433962,2.38095238095,0.003144654088051,3.82291666666667
SReal4,0,0,1,19,19,Accept|Reject,Accept,1,1,1,misinformation,single-choice,8.643,2585,2,0.857142857142857,30,2,3,2,2.22641509434,2.28571428571,-0.335130278526505,3.65625
